C90,XX.235,Artesanato Local,Escultura de Cerâmica,30,4,2013
C91,XX.582,Bijuterias Finas,Pulseira de Ouro,15,5,2014
C92,XX.799,Roupas para Todos,Calça Jeans,3,6,2015
C93,XX.346,Presentes Criativos,Quadro Decorativo,21,7,2016
C94,XX.792,Brinquedos para Crianças,Boneca,13,8,2017
C95,XX.412,Material Escolar,Borracha,27,9,2018
C96,XX.236,Móveis Planejados,Estante,5,10,2019
C97,XX.943,Jardinagem e Paisagismo,Adubo,18,11,2020
C98,XX.591,Eletrônicos e Eletrodomésticos,Batedeira,1,12,2010
C99,XX.328,Serviços de Reparo,Troca de Pneu,14,1,2011
C100,XX.647,Cantinho do Pastel,Pastel de Pizza,26,2,2012
